variant,collapsed
B.1.600,B.1
B.1.609,B.1
B.1.617,B.1
B.1.617.1,B.1
B.1.617.2,B.1.617.2
B.1.617.3,B.1
B.1.618,B.1
B.1.619,B.1
B.1.620,B.1
B.1.621,B.1
B.1.621.1,B.1
B.1.621.2,B.1
B.1.623,B.1
B.1.625,B.1
B.1.626,B.1
B.1.629,B.1
B.1.630,B.1
B.1.637,B.1
B.1.640.1,B.1
B.1.9,B.1
B.23,other
B.3,other
B.39,other
B.4,other
B.40,other
B.55,other
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1.1
BA.1.1.10,BA.1.1
BA.1.1.11,BA.1.1
BA.1.1.12,BA.1.1
BA.1.1.13,BA.1.1.13
BA.1.1.14,BA.1.1.14
BA.1.1.15,BA.1.1.15
BA.1.1.16,BA.1.1
BA.1.1.17,BA.1.1
BA.1.1.18,BA.1.1
BA.1.1.2,BA.1.1
BA.1.1.3,BA.1.1
BA.1.1.4,BA.1.1
BA.1.1.5,BA.1.1
BA.1.1.6,BA.1.1
BA.1.1.7,BA.1.1
BA.1.1.8,BA.1.1
BA.1.1.9,BA.1.1
BA.1.10,BA.1
BA.1.12,BA.1
BA.1.13,BA.1
BA.1.13.1,BA.1
BA.1.14,BA.1
BA.1.14.1,BA.1
BA.1.14.2,BA.1
BA.1.15,BA.1.15
BA.1.15.1,BA.1.15.1
BA.1.15.2,BA.1.15
BA.1.15.3,BA.1.15
BA.1.16,BA.1.16
BA.1.16.1,BA.1.16
BA.1.16.2,BA.1.16
BA.1.17,BA.1.17
BA.1.17.1,BA.1.17
BA.1.17.2,BA.1.17.2
BA.1.18,BA.1
BA.1.19,BA.1
BA.1.20,BA.1
BA.1.21,BA.1
BA.1.21.1,BA.1
BA.1.22,BA.1
BA.1.24,BA.1
BA.1.3,BA.1
BA.1.4,BA.1
BA.1.5,BA.1
BA.1.6,BA.1
BA.1.7,BA.1
BA.1.8,BA.1
BA.1.9,BA.1
BA.2,BA.2
BA.2.1,BA.2.1
BA.2.10,BA.2.10
BA.2.10.1,BA.2.10
BA.2.10.2,BA.2.10
BA.2.10.3,BA.2.10
BA.2.10.4,BA.2.10
BA.2.11,BA.2
BA.2.12,BA.2
BA.2.12.1,BA.2
BA.2.12.2,BA.2
BA.2.13,BA.2
BA.2.13.1,BA.2
BA.2.14,BA.2
BA.2.15,BA.2
BA.2.16,BA.2
BA.2.17,BA.2
BA.2.18,BA.2
BA.2.2,BA.2
BA.2.2.1,BA.2
BA.2.20,BA.2
BA.2.21,BA.2
BA.2.22,BA.2
BA.2.23,BA.2
BA.2.23.1,BA.2
BA.2.24,BA.2
BA.2.25,BA.2
BA.2.26,BA.2
BA.2.27,BA.2
BA.2.28,BA.2
BA.2.29,BA.2
BA.2.3,BA.2.3
BA.2.3.1,BA.2.3
BA.2.3.10,BA.2.3
BA.2.3.11,BA.2.3
BA.2.3.12,BA.2.3
BA.2.3.14,BA.2.3
BA.2.3.15,BA.2.3
BA.2.3.16,BA.2.3
BA.2.3.17,BA.2.3
BA.2.3.2,BA.2.3
BA.2.3.20,BA.2.3
BA.2.3.4,BA.2.3
BA.2.3.5,BA.2.3
BA.2.3.6,BA.2.3
BA.2.3.7,BA.2.3
BA.2.3.9,BA.2.3
BA.2.30,BA.2
BA.2.31,BA.2
BA.2.31.1,BA.2
BA.2.32,BA.2
BA.2.33,BA.2
BA.2.34,BA.2
BA.2.35,BA.2
BA.2.36,BA.2
BA.2.37,BA.2
BA.2.38,BA.2
BA.2.38.1,BA.2
BA.2.38.2,BA.2
BA.2.38.3,BA.2
BA.2.39,BA.2
BA.2.4,BA.2
BA.2.40,BA.2
BA.2.40.1,BA.2
BA.2.41,BA.2
BA.2.42,BA.2
BA.2.43,BA.2
BA.2.44,BA.2
BA.2.45,BA.2
BA.2.46,BA.2
BA.2.47,BA.2
BA.2.48,BA.2
BA.2.49,BA.2
BA.2.5,BA.2
BA.2.50,BA.2
BA.2.51,BA.2
BA.2.52,BA.2
BA.2.53,BA.2
BA.2.54,BA.2
BA.2.55,BA.2
BA.2.56,BA.2
BA.2.57,BA.2
BA.2.58,BA.2
BA.2.6,BA.2
BA.2.60,BA.2
BA.2.61,BA.2
BA.2.62,BA.2
BA.2.63,BA.2
BA.2.64,BA.2
BA.2.65,BA.2
BA.2.66,BA.2
BA.2.67,BA.2
BA.2.68,BA.2
BA.2.7,BA.2
BA.2.70,BA.2
BA.2.71,BA.2
BA.2.72,BA.2
BA.2.74,BA.2
BA.2.75,BA.2.75
BA.2.75.1,BA.2.75
BA.2.75.10,BA.2.75
BA.2.75.2,BA.2.75
BA.2.75.3,BA.2.75
BA.2.75.4,BA.2.75
BA.2.75.5,BA.2.75
BA.2.75.6,BA.2.75
BA.2.75.7,BA.2.75
BA.2.76,BA.2
BA.2.77,BA.2
BA.2.78,BA.2
BA.2.79,BA.2
BA.2.8,BA.2
BA.2.80,BA.2
BA.2.81,BA.2
BA.2.82,BA.2
BA.2.85,BA.2
BA.2.86,BA.2
BA.2.86.1,BA.2
BA.2.86.2,BA.2
BA.2.86.3,BA.2
BA.2.86.4,BA.2
BA.2.86.5,BA.2
BA.2.86.6,BA.2
BA.2.87,BA.2
BA.2.9,BA.2.9
BA.2.9.1,BA.2.9
BA.2.9.2,BA.2.9
BA.2.9.3,BA.2.9
BA.2.9.4,BA.2.9
BA.2.9.5,BA.2.9
BA.2.9.6,BA.2.9
BA.2.9.7,BA.2.9
BA.3,B.1.1
BA.3.1,B.1.1
BA.4,BA.4
BA.4.1,BA.4
BA.4.1.1,BA.4
BA.4.1.10,BA.4
BA.4.1.11,BA.4
BA.4.1.3,BA.4
BA.4.1.4,BA.4
BA.4.1.5,BA.4
BA.4.1.6,BA.4
BA.4.1.7,BA.4
BA.4.1.8,BA.4
BA.4.1.9,BA.4
BA.4.2,BA.4
BA.4.3,BA.4
BA.4.4,BA.4
BA.4.5,BA.4
BA.4.6,BA.4
BA.4.6.1,BA.4
BA.4.6.2,BA.4
BA.4.6.3,BA.4
BA.4.6.4,BA.4
BA.4.6.5,BA.4
BA.4.7,BA.4
BA.5,BA.5
BA.5.1,BA.5.1
BA.5.1.1,BA.5.1
BA.5.1.10,BA.5.1
BA.5.1.11,BA.5.1
BA.5.1.12,BA.5.1
BA.5.1.15,BA.5.1
BA.5.1.16,BA.5.1
BA.5.1.17,BA.5.1
BA.5.1.18,BA.5.1
BA.5.1.19,BA.5.1
BA.5.1.2,BA.5.1
BA.5.1.20,BA.5.1
BA.5.1.21,BA.5.1
BA.5.1.22,BA.5.1
BA.5.1.23,BA.5.1
BA.5.1.24,BA.5.1
BA.5.1.25,BA.5.1
BA.5.1.26,BA.5.1
BA.5.1.27,BA.5.1
BA.5.1.28,BA.5.1
BA.5.1.3,BA.5.1
BA.5.1.30,BA.5.1
BA.5.1.31,BA.5.1
BA.5.1.32,BA.5.1
BA.5.1.33,BA.5.1
BA.5.1.35,BA.5.1
BA.5.1.37,BA.5.1
BA.5.1.4,BA.5.1
BA.5.1.5,BA.5.1
BA.5.1.6,BA.5.1
BA.5.1.7,BA.5.1
BA.5.1.8,BA.5.1
BA.5.1.9,BA.5.1
BA.5.10,BA.5
BA.5.10.1,BA.5
BA.5.11,BA.5
BA.5.2,BA.5.2
BA.5.2.1,BA.5.2.1
BA.5.2.12,BA.5.2
BA.5.2.13,BA.5.2
BA.5.2.14,BA.5.2
BA.5.2.16,BA.5.2
BA.5.2.19,BA.5.2
BA.5.2.2,BA.5.2
BA.5.2.20,BA.5.2
BA.5.2.21,BA.5.2
BA.5.2.22,BA.5.2
BA.5.2.23,BA.5.2
BA.5.2.24,BA.5.2
BA.5.2.25,BA.5.2
BA.5.2.26,BA.5.2
BA.5.2.27,BA.5.2
BA.5.2.28,BA.5.2
BA.5.2.29,BA.5.2
BA.5.2.3,BA.5.2
BA.5.2.30,BA.5.2
BA.5.2.31,BA.5.2
BA.5.2.33,BA.5.2
BA.5.2.34,BA.5.2
BA.5.2.35,BA.5.2
BA.5.2.36,BA.5.2
BA.5.2.37,BA.5.2
BA.5.2.38,BA.5.2
BA.5.2.39,BA.5.2
BA.5.2.4,BA.5.2
BA.5.2.40,BA.5.2
BA.5.2.41,BA.5.2
BA.5.2.42,BA.5.2
BA.5.2.43,BA.5.2
BA.5.2.44,BA.5.2
BA.5.2.45,BA.5.2
BA.5.2.46,BA.5.2
BA.5.2.47,BA.5.2
BA.5.2.48,BA.5.2
BA.5.2.51,BA.5.2
BA.5.2.52,BA.5.2
BA.5.2.53,BA.5.2
BA.5.2.54,BA.5.2
BA.5.2.56,BA.5.2
BA.5.2.57,BA.5.2
BA.5.2.58,BA.5.2
BA.5.2.59,BA.5.2
BA.5.2.6,BA.5.2
BA.5.2.60,BA.5.2
BA.5.2.61,BA.5.2
BA.5.2.62,BA.5.2
BA.5.2.63,BA.5.2
BA.5.2.7,BA.5.2
BA.5.2.8,BA.5.2
BA.5.2.9,BA.5.2
BA.5.3,BA.5
BA.5.3.1,BA.5
BA.5.3.2,BA.5
BA.5.3.3,BA.5
BA.5.3.4,BA.5
BA.5.3.5,BA.5
BA.5.5,BA.5
BA.5.5.1,BA.5
BA.5.5.2,BA.5
BA.5.5.3,BA.5
BA.5.6,BA.5
BA.5.6.1,BA.5
BA.5.6.2,BA.5
BA.5.6.3,BA.5
BA.5.6.4,BA.5
BA.5.7,BA.5
BA.5.8,BA.5
BA.5.9,BA.5
BB.2,B.1
BC.1,BA.1.1.1
BC.2,BA.1.1.1
BD.1,BD.1
BE.1,BE.1
BE.1.1,BE.1
BE.1.1.1,BE.1
BE.1.1.2,BE.1
BE.1.2,BE.1
BE.1.2.1,BE.1
BE.1.3,BE.1
BE.1.4,BE.1
BE.1.4.4,BE.1
BE.10,BA.5
BE.11,BA.5
BE.12,BA.5
BE.13,BA.5
BE.2,BA.5
BE.3,BA.5
BE.4,BA.5
BE.4.1,BA.5
BE.4.1.1,BA.5
BE.4.2,BA.5
BE.6,BA.5
BE.7,BA.5
BE.8,BA.5
BE.9,BA.5
BF.1,BA.5.2.1
BF.1.1,BA.5.2.1
BF.10,BA.5.2.1
BF.11,BA.5.2.1
BF.11.1,BA.5.2.1
BF.11.2,BA.5.2.1
BF.11.3,BA.5.2.1
BF.11.4,BA.5.2.1
BF.11.5,BA.5.2.1
BF.12,BA.5.2.1
BF.13,BA.5.2.1
BF.14,BA.5.2.1
BF.15,BA.5.2.1
BF.16,BA.5.2.1
BF.17,BA.5.2.1
BF.18,BA.5.2.1
BF.19,BA.5.2.1
BF.2,BA.5.2.1
BF.20,BA.5.2.1
BF.21,BA.5.2.1
BF.23,BA.5.2.1
BF.24,BA.5.2.1
BF.25,BA.5.2.1
BF.26,BA.5.2.1
BF.27,BA.5.2.1
BF.28,BA.5.2.1
BF.29,BA.5.2.1
BF.3,BA.5.2.1
BF.3.1,BA.5.2.1
BF.30,BA.5.2.1
BF.31,BA.5.2.1
BF.31.1,BA.5.2.1
BF.34,BA.5.2.1
BF.36,BA.5.2.1
BF.39,BA.5.2.1
BF.4,BA.5.2.1
BF.40,BA.5.2.1
BF.41,BA.5.2.1
BF.5,BA.5.2.1
BF.5.1,BA.5.2.1
BF.5.5,BA.5.2.1
BF.6,BA.5.2.1
BF.7,BA.5.2.1
BF.7.1,BA.5.2.1
BF.7.10,BA.5.2.1
BF.7.11,BA.5.2.1
BF.7.12,BA.5.2.1
BF.7.13,BA.5.2.1
BF.7.13.1,BA.5.2.1
BF.7.13.2,BA.5.2.1
BF.7.14,BA.5.2.1
BF.7.16,BA.5.2.1
BF.7.19,BA.5.2.1
BF.7.20,BA.5.2.1
BF.7.21,BA.5.2.1
BF.7.22,BA.5.2.1
BF.7.23,BA.5.2.1
BF.7.24,BA.5.2.1
BF.7.26,BA.5.2.1
BF.7.3,BA.5.2.1
BF.7.4,BA.5.2.1
BF.7.4.1,BA.5.2.1
BF.7.4.2,BA.5.2.1
BF.7.5,BA.5.2.1
BF.7.6,BA.5.2.1
BF.7.7,BA.5.2.1
BF.7.8,BA.5.2.1
BF.7.9,BA.5.2.1
BF.8,BA.5.2.1
BF.9,BA.5.2.1
BG.1,BA.2
BG.2,BA.2
BG.4,BA.2
BG.5,BA.2
BG.6,BA.2
BH.1,BA.2
BJ.1,BA.2.10
BK.1,BA.5.1
BL.1,BA.2.75
BL.1.1,BA.2.75
BL.1.3,BA.2.75
BL.1.4,BA.2.75
BL.2,BA.2.75
BL.3,BA.2.75
BL.4,BA.2.75
BM.1,BA.2.75
BM.1.1,BA.2.75
BM.1.1.1,BA.2.75
BM.1.1.2,BA.2.75
BM.1.1.3,BA.2.75
BM.1.1.4,BA.2.75
BM.1.1.5,BA.2.75
BM.2.1,BA.2.75
BM.2.3,BA.2.75
BM.4.1,BA.2.75
BM.4.1.1,BA.2.75
BM.5,BA.2.75
BN.1,BA.2.75
BN.1.1,BA.2.75
BN.1.1.1,BA.2.75
BN.1.10,BA.2.75
BN.1.2,BA.2.75
BN.1.2.1,BA.2.75
BN.1.2.2,BA.2.75
BN.1.2.3,BA.2.75
BN.1.2.4,BA.2.75
BN.1.2.5,BA.2.75
BN.1.2.6,BA.2.75
BN.1.2.8,BA.2.75
BN.1.3,BA.2.75
BN.1.3.1,BA.2.75
BN.1.3.12,BA.2.75
BN.1.3.4,BA.2.75
BN.1.3.5,BA.2.75
BN.1.3.6,BA.2.75
BN.1.3.7,BA.2.75
BN.1.3.9,BA.2.75
BN.1.4,BA.2.75
BN.1.4.1,BA.2.75
BN.1.4.3,BA.2.75
BN.1.4.4,BA.2.75
BN.1.4.5,BA.2.75
BN.1.5,BA.2.75
BN.1.5.2,BA.2.75
BN.1.7,BA.2.75
BN.1.9,BA.2.75
BN.2.1,BA.2.75
BN.3,BA.2.75
BN.3.1,BA.2.75
BN.4,BA.2.75
BN.5,BA.2.75
BN.6,BA.2.75
BQ.1,BQ.1
BQ.1.1,BQ.1.1
BQ.1.1.1,BQ.1.1
BQ.1.1.10,BQ.1.1
BQ.1.1.11,BQ.1.1
BQ.1.1.12,BQ.1.1
BQ.1.1.13,BQ.1.1
BQ.1.1.14,BQ.1.1
BQ.1.1.15,BQ.1.1
BQ.1.1.16,BQ.1.1
BQ.1.1.17,BQ.1.1
BQ.1.1.18,BQ.1.1
BQ.1.1.19,BQ.1.1
BQ.1.1.2,BQ.1.1
BQ.1.1.20,BQ.1.1
BQ.1.1.21,BQ.1.1
BQ.1.1.22,BQ.1.1
BQ.1.1.23,BQ.1.1
BQ.1.1.24,BQ.1.1
BQ.1.1.25,BQ.1.1
BQ.1.1.26,BQ.1.1
BQ.1.1.27,BQ.1.1
BQ.1.1.28,BQ.1.1
BQ.1.1.29,BQ.1.1
BQ.1.1.3,BQ.1.1
BQ.1.1.30,BQ.1.1
BQ.1.1.31,BQ.1.1
BQ.1.1.32,BQ.1.1
BQ.1.1.34,BQ.1.1
BQ.1.1.35,BQ.1.1
BQ.1.1.36,BQ.1.1
BQ.1.1.37,BQ.1.1
BQ.1.1.38,BQ.1.1
BQ.1.1.39,BQ.1.1
BQ.1.1.4,BQ.1.1
BQ.1.1.40,BQ.1.1
BQ.1.1.41,BQ.1.1
BQ.1.1.42,BQ.1.1
BQ.1.1.43,BQ.1.1
BQ.1.1.44,BQ.1.1
BQ.1.1.45,BQ.1.1
BQ.1.1.46,BQ.1.1
BQ.1.1.47,BQ.1.1
BQ.1.1.49,BQ.1.1
BQ.1.1.5,BQ.1.1
BQ.1.1.51,BQ.1.1
BQ.1.1.52,BQ.1.1
BQ.1.1.53,BQ.1.1
BQ.1.1.56,BQ.1.1
BQ.1.1.57,BQ.1.1
BQ.1.1.58,BQ.1.1
BQ.1.1.59,BQ.1.1
BQ.1.1.6,BQ.1.1
BQ.1.1.60,BQ.1.1
BQ.1.1.62,BQ.1.1
BQ.1.1.63,BQ.1.1
BQ.1.1.64,BQ.1.1
BQ.1.1.65,BQ.1.1
BQ.1.1.66,BQ.1.1
BQ.1.1.67,BQ.1.1
BQ.1.1.68,BQ.1.1
BQ.1.1.69,BQ.1.1
BQ.1.1.7,BQ.1.1
BQ.1.1.71,BQ.1.1
BQ.1.1.72,BQ.1.1
BQ.1.1.74,BQ.1.1
BQ.1.1.76,BQ.1.1
BQ.1.1.78,BQ.1.1
BQ.1.1.79,BQ.1.1
BQ.1.1.8,BQ.1.1
BQ.1.1.9,BQ.1.1
BQ.1.10,BQ.1
BQ.1.10.1,BQ.1
BQ.1.10.2,BQ.1
BQ.1.10.3,BQ.1
BQ.1.11,BQ.1
BQ.1.11.1,BQ.1
BQ.1.12,BQ.1
BQ.1.13,BQ.1
BQ.1.13.1,BQ.1
BQ.1.14,BQ.1
BQ.1.15,BQ.1
BQ.1.16,BQ.1
BQ.1.17,BQ.1
BQ.1.18,BQ.1
BQ.1.19,BQ.1
BQ.1.2,BQ.1
BQ.1.2.1,BQ.1
BQ.1.2.2,BQ.1
BQ.1.2.3,BQ.1
BQ.1.20,BQ.1
BQ.1.21,BQ.1
BQ.1.22,BQ.1
BQ.1.23,BQ.1
BQ.1.24,BQ.1
BQ.1.25,BQ.1
BQ.1.25.1,BQ.1
BQ.1.26,BQ.1
BQ.1.26.1,BQ.1
BQ.1.27,BQ.1
BQ.1.28,BQ.1
BQ.1.3,BQ.1
BQ.1.3.1,BQ.1
BQ.1.3.2,BQ.1
BQ.1.31,BQ.1
BQ.1.32,BQ.1
BQ.1.33,BQ.1
BQ.1.4,BQ.1
BQ.1.5,BQ.1
BQ.1.6,BQ.1
BQ.1.7,BQ.1
BQ.1.8,BQ.1
BQ.1.8.1,BQ.1
